claim_id,old_lines,topic,old_claim,status,evidence,proposed_ground_truth_action
GT-001,3-10,document authority,OLD_GROUND_TRUTH.md is a single authoritative reference,invalid,"File was introduced in 6ad8a00 on 2026-04-17 with many simulation changes in the same commit; several claims are contradicted by current source files.","Do not preserve authority language. New file should be an evidence index with confidence levels."
GT-002,20-22,OVRO reference location,"harness constants are lat 37.2339 N, lon -118.2825 E, altitude 1222.0 m",valid_with_sign_fix,"dsa110_continuum/simulation/harness.py lines 44-53 define lat=37.2339, lon=-118.2825, alt=1222.0. Old table labels longitude as E but value is negative, so it is west longitude in degrees east convention.","Keep values, state longitude as -118.2825 deg east / 118.2825 deg W."
GT-003,26-33,active antenna count,"96 active antennas out of 117 allocated station slots; old breakdown says 51 EW + 35 NS + 14 outriggers",conflicted,"docs/dsa110-instrument.md lines 55-66 says 96 active but breakdown is 47 EW + 35 NS + 14 outriggers. harness.py lines 76-79 still says 96 operational but 47 EW + 35 NS + 14 outriggers. OLD_GROUND_TRUTH.md line 30 says 51 EW active.","Keep 96 active only if externally cited; reject the 51 EW breakdown unless new evidence supports it."
GT-004,35-38,active antenna IDs,"exact active 96 station list is not machine-readable in this repo; authoritative source is real HDF5/MS antenna metadata",needs_external_validation,"No active-96 list was found in repo search. This is a negative claim; repo scan supports absence but cannot prove external authority without inspecting real HDF5/MS metadata.","Keep as operational caveat, mark source as repo scan plus pending H17 data verification."
GT-005,40-43,simulation antenna policy,"simulation should use all 117 station positions; inactive slots produce zero-weighted baselines and do not degrade imaging",partly_valid_partly_unsupported,"SimulationHarness default is now n_antennas=117 at harness.py lines 323-367 and plot_tile_image.py uses N_ANT=117 at lines 44-48. However the zero-weighted-baselines claim is not implemented in harness.py, which creates baselines for all selected antennas.","Keep 117-as-current-harness-default. Drop or separately validate the zero-weighted-baselines statement."
GT-006,47-52,position file usage,"DSA110_Station_Coordinates.csv is human reference only; antennas.csv is used by load_geodetic_enu and harness",invalid_stale,"harness.py lines 140-179 show load_geodetic_enu reads DSA110_Station_Coordinates.csv. harness.py lines 387-396 show SimulationHarness uses load_geodetic_enu for real positions. antennas.csv is read by _load_antenna_enu_from_csv but not the current default path.","New file should say current harness default uses DSA110_Station_Coordinates.csv; antennas.csv remains bundled alternate/projected-coordinate input."
GT-007,54-61,antennas.csv raw offsets,"relative ENU can be approximated by subtracting DSA001 raw antennas.csv values",stale_for_default_harness,"The arithmetic is true for that CSV, but harness.py lines 387-396 no longer uses that path by default; load_geodetic_enu computes ENU from geodetic CSV.","Move to historical/alternate-coordinate note, not current ground truth."
GT-008,63-91,computed station positions and extents,"listed DSA station ENU values and extents from load_geodetic_enu(117)",valid_for_current_harness,"Current computation with /opt/miniforge/envs/casa6/bin/python produced the same listed positions and extents: E span 1768.56 m, N span 2219.73 m.","Keep, but state evidence is computed from current load_geodetic_enu(117)."
GT-009,95-105,harness antenna count,"always use n_antennas=117; default n_antennas=8 is unit tests only",stale_mixed,"harness.py lines 329-336 recommends 117 and warns against 96; dataclass default is n_antennas=117 at line 359. The claim that default is 8 is false now.","Keep recommendation if still desired; correct default to 117."
GT-010,113-118,timing,"integration time 12.884902000427246 s, 24 fields, tile duration 309.2 s, tile0 start 2026-01-25T22:26:05, median RA 344.124 deg, dec 16.15 deg",partly_valid_contextual,"YAML lines 50-52 and harness.py lines 67-69 support integration/time count. Current computation gives tile duration 309.237648 s and median RA 344.124049 deg. harness.py line 435 supports default start. Dec 16.15 is harness/simulation canary default, while pipeline-specs.md lines 55-57 and 70 say real survey declination is read from data, not fixed.","Keep simulation canary timing; do not describe 16.15 deg as operationally fixed."
GT-011,126-132,spectral setup,"16 subbands, 48 channels each, 768 total, 244140.625 Hz channels, center-frequency span 1311.372-1498.628 MHz, total channel bandwidth 187.5 MHz",valid_with_precision_note,"harness.py lines 56-65, YAML lines 39-49, and computed harness frequencies support the claim. Center-to-center span is 187.255859375 MHz; 768 channel widths equal 187.5 MHz.","Keep, but distinguish channel-center range from edge bandwidth."
GT-012,134-140,YAML inconsistency,"YAML still has stale frequency_setup.channel_width 325.520833 kHz",invalid_stale,"Current YAML lines 248-260 now record channel_width value 244.140625 kHz and explicitly note the correction. No frequency_setup.channel_width 325.520833 entry was found in the inspected file.","Drop this as current warning; replace with historical note if needed."
GT-013,146-155,simulation sky model,"sky model is synthetic, default n_sky_sources=20, seed=42, power-law flux distribution, not connected to real catalog",valid,"harness.py lines 269-318 implement random synthetic point sources and spectral indices; dataclass defaults at lines 359-366 set n_sky_sources=20 and seed=42.","Keep."
GT-014,167-171,commissioning config history,"ant_ids.csv and ant_ids_mid.csv counts and operational list not in CSV",needs_external_validation,"These files are not in this repo; memory notes sibling dsa110-antpos may exist, but this audit did not inspect it. Repo docs mention ant_ids_mid as 66-antenna commissioning config in docs/dsa110-instrument.md lines 63-69.","Keep only if validated against sibling dsa110-antpos or remove from new repo-local ground truth."
GT-015,177-191,simulation limitations,"active list absent, synthetic sky, gain corruption 10 percent amplitude and 5 deg phase, no ionosphere, WSClean -pol I convention",mixed,"Active-list and synthetic-sky claims are supported/partly supported. plot_tile_image.py lines 51-52 uses AMP_SCATTER=0.05 and PHASE_SCATTER=5.0, contradicting 10 percent for that script. Broader harness limitations need code review beyond this first pass.","Split into separate limitations; keep only statements with direct code evidence."
GT-016,197-205,reference figures,"docs/images contains listed figures",valid_file_presence_pending_content_review,"Commit 6ad8a00 added the images and docs/images/README.md. This audit did not verify regenerated figure contents or PSF metrics.","Keep file links only; do not treat numerical figure results as ground truth until regenerated."
